Team 1,Team 2,Winner,Margin,Ground,Date,Year,Toss Winner,Toss Decision
Kenya,Netherlands,Kenya,5 wickets,Windhoek,Apr 19,2013,Netherlands,Bat
Kenya,Netherlands,Kenya,7 wickets,Windhoek,Apr 20,2013,Kenya,Field
Zimbabwe,Bangladesh,Zimbabwe,6 runs,Bulawayo,May 11,2013,Zimbabwe,Bat
Zimbabwe,Bangladesh,Bangladesh,34 runs,Bulawayo,May 12,2013,Bangladesh,Bat
England,New Zealand,New Zealand,5 runs,The Oval,Jun 25,2013,England,Field
England,New Zealand,no result,,The Oval,Jun 27,2013,New Zealand,Field
Scotland,Kenya,Scotland,35 runs,Aberdeen,Jul 4,2013,Scotland,Bat
Scotland,Kenya,Scotland,7 wickets,Aberdeen,Jul 5,2013,Kenya,Bat
West Indies,Pakistan,Pakistan,2 wickets,Kingstown,Jul 27,2013,West Indies,Bat
West Indies,Pakistan,Pakistan,11 runs,Kingstown,Jul 28,2013,Pakistan,Bat
Sri Lanka,South Africa,South Africa,12 runs,Colombo (RPS),Aug 2,2013,South Africa,Bat
Sri Lanka,South Africa,South Africa,22 runs,Hambantota,Aug 4,2013,South Africa,Bat
Sri Lanka,South Africa,Sri Lanka,6 wickets,Hambantota,Aug 6,2013,South Africa,Bat
Zimbabwe,Pakistan,Pakistan,25 runs,Harare,Aug 23,2013,Zimbabwe,Field
Zimbabwe,Pakistan,Pakistan,19 runs,Harare,Aug 24,2013,Zimbabwe,Field
England,Australia,Australia,39 runs,Southampton,Aug 29,2013,England,Field
England,Australia,England,27 runs,Chester-le-Street,Aug 31,2013,Australia,Field
Afghanistan,Kenya,Afghanistan,106 runs,Sharjah,Sep 30,2013,Afghanistan,Bat
India,Australia,India,6 wickets,Rajkot,Oct 10,2013,India,Field
Afghanistan,Kenya,Kenya,34 runs,Sharjah,Oct 11,2013,Kenya,Bat
Bangladesh,New Zealand,New Zealand,15 runs,Dhaka,Nov 6,2013,New Zealand,Bat
Pakistan,South Africa,South Africa,9 wickets,Dubai (DSC),Nov 13,2013,Pakistan,Bat
Afghanistan,Netherlands,Netherlands,7 wickets,Sharjah,Nov 15,2013,Afghanistan,Bat
Pakistan,South Africa,South Africa,6 runs,Dubai (DSC),Nov 15,2013,South Africa,Bat
Afghanistan,Scotland,Afghanistan,17 runs,Sharjah,Nov 16,2013,Afghanistan,Bat
Canada,Ireland,Ireland,2 runs,Abu Dhabi,Nov 16,2013,Canada,Field
Kenya,Scotland,Kenya,92 runs,ICCA Dubai,Nov 19,2013,Kenya,Bat
South Africa,Pakistan,South Africa,4 runs,Johannesburg,Nov 20,2013,Pakistan,Field
Sri Lanka,New Zealand,Sri Lanka,8 wickets,Pallekele,Nov 21,2013,Sri Lanka,Field
Netherlands,Scotland,Scotland,15 runs,ICCA Dubai,Nov 22,2013,Netherlands,Field
South Africa,Pakistan,Pakistan,6 runs,Cape Town,Nov 22,2013,Pakistan,Bat
Kenya,Netherlands,Netherlands,29 runs,ICCA Dubai,Nov 23,2013,Netherlands,Bat
Afghanistan,Kenya,Afghanistan,34 runs,Sharjah,Nov 24,2013,Afghanistan,Bat
Canada,Kenya,Kenya,21 runs,Sharjah,Nov 26,2013,Kenya,Bat
Netherlands,Scotland,Netherlands,8 wickets,Abu Dhabi,Nov 28,2013,Scotland,Bat
Afghanistan,Ireland,Ireland,68 runs,Abu Dhabi,Nov 30,2013,Ireland,Bat
Afghanistan,Pakistan,Pakistan,6 wickets,Sharjah,Dec 8,2013,Afghanistan,Bat
Pakistan,Sri Lanka,Pakistan,3 wickets,Dubai (DSC),Dec 11,2013,Pakistan,Field
Pakistan,Sri Lanka,Sri Lanka,24 runs,Dubai (DSC),Dec 13,2013,Pakistan,Field
New Zealand,West Indies,New Zealand,81 runs,Auckland,Jan 11,2014,New Zealand,Bat
New Zealand,West Indies,New Zealand,4 wickets,Wellington,Jan 15,2014,West Indies,Bat
Australia,England,Australia,13 runs,Hobart,Jan 29,2014,Australia,Bat
Australia,England,Australia,8 wickets,Melbourne,Jan 31,2014,England,Bat
Australia,England,Australia,84 runs,Sydney,Feb 2,2014,Australia,Bat
Bangladesh,Sri Lanka,Sri Lanka,2 runs,Chattogram,Feb 12,2014,Bangladesh,Field
Bangladesh,Sri Lanka,Sri Lanka,3 wickets,Chattogram,Feb 14,2014,Bangladesh,Bat
West Indies,Ireland,Ireland,6 wickets,Kingston,Feb 19,2014,West Indies,Bat
West Indies,Ireland,West Indies,11 runs,Kingston,Feb 21,2014,Ireland,Field
West Indies,England,West Indies,27 runs,Bridgetown,Mar 9,2014,West Indies,Bat
West Indies,England,West Indies,5 wickets,Bridgetown,Mar 11,2014,England,Bat
South Africa,Australia,Australia,5 wickets,Durban,Mar 12,2014,Australia,Field
West Indies,England,England,5 runs,Bridgetown,Mar 13,2014,England,Bat
South Africa,Australia,Australia,6 wickets,Centurion,Mar 14,2014,Australia,Field
Bangladesh,Afghanistan,Bangladesh,9 wickets,Dhaka,Mar 16,2014,Bangladesh,Field
Hong Kong,Nepal,Nepal,80 runs,Chattogram,Mar 16,2014,Hong Kong,Field
Ireland,Zimbabwe,Ireland,3 wickets,Sylhet,Mar 17,2014,Ireland,Field
Netherlands,U.A.E.,Netherlands,6 wickets,Sylhet,Mar 17,2014,United Arab Emirates,Bat
Afghanistan,Hong Kong,Afghanistan,7 wickets,Chattogram,Mar 18,2014,Hong Kong,Bat
Bangladesh,Nepal,Bangladesh,8 wickets,Chattogram,Mar 18,2014,Bangladesh,Field
Netherlands,Zimbabwe,Zimbabwe,5 wickets,Sylhet,Mar 19,2014,Netherlands,Bat
Ireland,U.A.E.,Ireland,21 runs,Sylhet,Mar 19,2014,Ireland,Field
Afghanistan,Nepal,Nepal,9 runs,Chattogram,Mar 20,2014,Afghanistan,Field
Bangladesh,Hong Kong,Hong Kong,2 wickets,Chattogram,Mar 20,2014,Hong Kong,Field
U.A.E.,Zimbabwe,Zimbabwe,5 wickets,Sylhet,Mar 21,2014,Zimbabwe,Field
Ireland,Netherlands,Netherlands,6 wickets,Sylhet,Mar 21,2014,Netherlands,Field
India,Pakistan,India,7 wickets,Dhaka,Mar 21,2014,India,Field
South Africa,Sri Lanka,Sri Lanka,5 runs,Chattogram,Mar 22,2014,Sri Lanka,Bat
England,New Zealand,New Zealand,9 runs,Chattogram,Mar 22,2014,New Zealand,Field
Australia,Pakistan,Pakistan,16 runs,Dhaka,Mar 23,2014,Australia,Field
India,West Indies,India,7 wickets,Dhaka,Mar 23,2014,India,Field
New Zealand,South Africa,South Africa,2 runs,Chattogram,Mar 24,2014,New Zealand,Field
Netherlands,Sri Lanka,Sri Lanka,9 wickets,Chattogram,Mar 24,2014,Sri Lanka,Field
Bangladesh,West Indies,West Indies,73 runs,Dhaka,Mar 25,2014,Bangladesh,Field
Netherlands,South Africa,South Africa,6 runs,Chattogram,Mar 27,2014,Netherlands,Field
England,Sri Lanka,England,6 wickets,Chattogram,Mar 27,2014,England,Field
Australia,West Indies,West Indies,6 wickets,Dhaka,Mar 28,2014,Australia,Bat
Bangladesh,India,India,8 wickets,Dhaka,Mar 28,2014,India,Field
Netherlands,New Zealand,New Zealand,6 wickets,Chattogram,Mar 29,2014,New Zealand,Field
England,South Africa,South Africa,3 runs,Chattogram,Mar 29,2014,England,Field
Bangladesh,Pakistan,Pakistan,50 runs,Dhaka,Mar 30,2014,Pakistan,Bat
Australia,India,India,73 runs,Dhaka,Mar 30,2014,Australia,Field
England,Netherlands,Netherlands,45 runs,Chattogram,Mar 31,2014,England,Field
New Zealand,Sri Lanka,Sri Lanka,59 runs,Chattogram,Mar 31,2014,New Zealand,Field
Bangladesh,Australia,Australia,7 wickets,Dhaka,Apr 1,2014,Bangladesh,Bat
Pakistan,West Indies,West Indies,84 runs,Dhaka,Apr 1,2014,West Indies,Bat
Sri Lanka,West Indies,Sri Lanka,27 runs,Dhaka,Apr 3,2014,Sri Lanka,Bat
India,South Africa,India,6 wickets,Dhaka,Apr 4,2014,South Africa,Bat
India,Sri Lanka,Sri Lanka,6 wickets,Dhaka,Apr 6,2014,Sri Lanka,Field
England,Sri Lanka,Sri Lanka,9 runs,The Oval,May 20,2014,England,Field
West Indies,New Zealand,New Zealand,12 runs,Roseau,Jul 5,2014,New Zealand,Field
West Indies,New Zealand,West Indies,39 runs,Roseau,Jul 6,2014,New Zealand,Field
West Indies,Bangladesh,no result,,Basseterre,Aug 27,2014,Bangladesh,Bat
England,India,England,3 runs,Birmingham,Sep 7,2014,England,Bat
Australia,Pakistan,Australia,6 wickets,Dubai (DSC),Oct 5,2014,Pakistan,Bat
Australia,South Africa,South Africa,7 wickets,Adelaide,Nov 5,2014,Australia,Bat
Australia,South Africa,Australia,7 wickets,Melbourne,Nov 7,2014,South Africa,Bat
Australia,South Africa,Australia,2 wickets,Sydney,Nov 9,2014,Australia,Field
Hong Kong,Nepal,Hong Kong,2 wickets,Colombo (PSS),Nov 24,2014,Hong Kong,Field
New Zealand,Pakistan,Pakistan,7 wickets,Dubai (DSC),Dec 4,2014,Pakistan,Field
New Zealand,Pakistan,New Zealand,17 runs,Dubai (DSC),Dec 5,2014,Pakistan,Field
South Africa,West Indies,West Indies,4 wickets,Cape Town,Jan 9,2015,South Africa,Bat
South Africa,West Indies,West Indies,4 wickets,Johannesburg,Jan 11,2015,West Indies,Field
South Africa,West Indies,South Africa,69 runs,Durban,Jan 14,2015,West Indies,Field
Bangladesh,Pakistan,Bangladesh,7 wickets,Dhaka,Apr 24,2015,Pakistan,Bat
Pakistan,Zimbabwe,Pakistan,5 wickets,Lahore,May 22,2015,Zimbabwe,Bat
Pakistan,Zimbabwe,Pakistan,2 wickets,Lahore,May 24,2015,Zimbabwe,Bat
Ireland,Scotland,Scotland,6 wickets,Bready,Jun 18,2015,Ireland,Bat
Ireland,Scotland,no result,,Bready,Jun 19,2015,,
Ireland,Scotland,Scotland,6 wickets,Bready,Jun 20,2015,Scotland,Field
Ireland,Scotland,no result,,Bready,Jun 21,2015,,
England,New Zealand,England,56 runs,Manchester,Jun 23,2015,England,Bat
Netherlands,Nepal,Netherlands,18 runs,Amstelveen,Jun 30,2015,Netherlands,Bat
Netherlands,Nepal,Netherlands,103 runs,Amstelveen,Jul 1,2015,Nepal,Field
Netherlands,Nepal,Netherlands,18 runs,Rotterdam,Jul 2,2015,Netherlands,Bat
Netherlands,Nepal,Nepal,3 wickets,Rotterdam,Jul 3,2015,Netherlands,Bat
Bangladesh,South Africa,South Africa,52 runs,Dhaka,Jul 5,2015,South Africa,Bat
Bangladesh,South Africa,South Africa,31 runs,Dhaka,Jul 7,2015,South Africa,Bat
Scotland,U.A.E.,Scotland,9 wickets,Edinburgh,Jul 9,2015,Scotland,Field
Afghanistan,Netherlands,Afghanistan,32 runs,Edinburgh,Jul 9,2015,Netherlands,Field
Afghanistan,U.A.E.,Afghanistan,8 wickets,Edinburgh,Jul 10,2015,United Arab Emirates,Bat
Scotland,Netherlands,Netherlands,32 runs,Edinburgh,Jul 11,2015,Netherlands,Bat
Netherlands,U.A.E.,Netherlands,7 wickets,Edinburgh,Jul 12,2015,Netherlands,Field
Scotland,Afghanistan,Afghanistan,37 runs,Edinburgh,Jul 12,2015,Afghanistan,Bat
Ireland,Nepal,Ireland,8 wickets,Belfast,Jul 13,2015,Ireland,Field
Ireland,P.N.G.,P.N.G.,2 wickets,Belfast,Jul 15,2015,Ireland,Bat
Hong Kong,Nepal,Hong Kong,5 wickets,Belfast,Jul 15,2015,Hong Kong,Field
Nepal,P.N.G.,P.N.G.,8 wickets,Dublin (Malahide),Jul 17,2015,Papua New Guinea,Field
Zimbabwe,India,India,54 runs,Harare,Jul 17,2015,India,Bat
Ireland,Hong Kong,Hong Kong,5 runs,Dublin (Malahide),Jul 17,2015,Ireland,Field
Zimbabwe,India,Zimbabwe,10 runs,Harare,Jul 19,2015,Zimbabwe,Bat
Afghanistan,Hong Kong,Hong Kong,5 wickets,Dublin (Malahide),Jul 21,2015,Afghanistan,Bat
Afghanistan,P.N.G.,Afghanistan,6 wickets,Dublin (Malahide),Jul 23,2015,Papua New Guinea,Bat
Hong Kong,Scotland,Scotland,5 wickets,Dublin (Malahide),Jul 25,2015,Scotland,Field
Afghanistan,Oman,Afghanistan,5 wickets,Dublin,Jul 25,2015,Afghanistan,Field
Ireland,Netherlands,Netherlands,5 wickets,Dublin (Malahide),Jul 25,2015,Netherlands,Field
Sri Lanka,Pakistan,Pakistan,29 runs,Colombo (RPS),Jul 30,2015,Pakistan,Bat
Sri Lanka,Pakistan,Pakistan,1 wicket,Colombo (RPS),Aug 1,2015,Sri Lanka,Bat
Zimbabwe,New Zealand,New Zealand,80 runs,Harare,Aug 9,2015,Zimbabwe,Field
South Africa,New Zealand,South Africa,6 wickets,Durban,Aug 14,2015,South Africa,Field
South Africa,New Zealand,New Zealand,32 runs,Centurion,Aug 16,2015,New Zealand,Bat
England,Australia,England,5 runs,Cardiff,Aug 31,2015,Australia,Field
Zimbabwe,Pakistan,Pakistan,13 runs,Harare,Sep 27,2015,Pakistan,Bat
Zimbabwe,Pakistan,Pakistan,15 runs,Harare,Sep 29,2015,Pakistan,Bat
India,South Africa,South Africa,7 wickets,Dharamsala,Oct 2,2015,South Africa,Field
India,South Africa,South Africa,6 wickets,Cuttack,Oct 5,2015,South Africa,Field
Zimbabwe,Afghanistan,Afghanistan,6 wickets,Bulawayo,Oct 26,2015,Zimbabwe,Bat
Zimbabwe,Afghanistan,Afghanistan,5 wickets,Bulawayo,Oct 28,2015,Zimbabwe,Bat
Sri Lanka,West Indies,Sri Lanka,30 runs,Pallekele,Nov 9,2015,West Indies,Field
Sri Lanka,West Indies,West Indies,23 runs,Colombo (RPS),Nov 11,2015,West Indies,Bat
Bangladesh,Zimbabwe,Bangladesh,4 wickets,Dhaka,Nov 13,2015,Bangladesh,Field
Bangladesh,Zimbabwe,Zimbabwe,3 wickets,Dhaka,Nov 15,2015,Bangladesh,Bat
Hong Kong,Oman,Oman,6 wickets,Abu Dhabi,Nov 21,2015,Oman,Field
U.A.E.,Oman,U.A.E.,7 wickets,Abu Dhabi,Nov 22,2015,United Arab Emirates,Field
Hong Kong,Oman,Oman,4 runs,Abu Dhabi,Nov 25,2015,Hong Kong,Field
Hong Kong,Oman,Hong Kong,8 wickets,Abu Dhabi,Nov 26,2015,Hong Kong,Field
England,Pakistan,England,14 runs,Dubai (DSC),Nov 26,2015,England,Bat
England,Pakistan,England,3 runs,Dubai (DSC),Nov 27,2015,England,Bat
Afghanistan,Hong Kong,Hong Kong,4 wickets,Abu Dhabi,Nov 28,2015,Afghanistan,Bat
Afghanistan,Oman,Afghanistan,27 runs,Abu Dhabi,Nov 29,2015,Oman,Field
Afghanistan,Oman,Afghanistan,12 runs,Abu Dhabi,Nov 30,2015,Oman,Field
England,Pakistan,tied,,Sharjah,Nov 30,2015,England,Bat
New Zealand,Sri Lanka,New Zealand,3 runs,Mount Maunganui,Jan 7,2016,Sri Lanka,Field
Afghanistan,Zimbabwe,Afghanistan,5 runs,Sharjah,Jan 8,2016,Afghanistan,Bat
New Zealand,Sri Lanka,New Zealand,9 wickets,Auckland,Jan 10,2016,New Zealand,Field
Afghanistan,Zimbabwe,Afghanistan,81 runs,Sharjah,Jan 10,2016,Zimbabwe,Field
New Zealand,Pakistan,Pakistan,16 runs,Auckland,Jan 15,2016,New Zealand,Field
Bangladesh,Zimbabwe,Bangladesh,4 wickets,Khulna,Jan 15,2016,Zimbabwe,Bat
New Zealand,Pakistan,New Zealand,10 wickets,Hamilton,Jan 17,2016,Pakistan,Bat
Bangladesh,Zimbabwe,Bangladesh,42 runs,Khulna,Jan 17,2016,Bangladesh,Bat
Bangladesh,Zimbabwe,Zimbabwe,31 runs,Khulna,Jan 20,2016,Zimbabwe,Bat
New Zealand,Pakistan,New Zealand,95 runs,Wellington,Jan 22,2016,Pakistan,Field
Bangladesh,Zimbabwe,Zimbabwe,18 runs,Khulna,Jan 22,2016,Zimbabwe,Bat
Australia,India,India,37 runs,Adelaide,Jan 26,2016,Australia,Field
Australia,India,India,27 runs,Melbourne,Jan 29,2016,Australia,Field
Hong Kong,Scotland,Hong Kong,9 wickets,Mong Kok,Jan 30,2016,Hong Kong,Field
Hong Kong,Scotland,Scotland,37 runs,Mong Kok,Jan 31,2016,Hong Kong,Field
Australia,India,India,7 wickets,Sydney,Jan 31,2016,Australia,Bat
U.A.E.,Netherlands,Netherlands,84 runs,ICCA Dubai,Feb 3,2016,United Arab Emirates,Field
U.A.E.,Scotland,U.A.E.,9 runs,ICCA Dubai,Feb 4,2016,United Arab Emirates,Bat
Netherlands,Scotland,Scotland,37 runs,ICCA Dubai,Feb 5,2016,Scotland,Bat
Ireland,P.N.G.,Ireland,5 wickets,Townsville,Feb 6,2016,Ireland,Field
Ireland,P.N.G.,Ireland,7 runs,Townsville,Feb 7,2016,Papua New Guinea,Field
Ireland,P.N.G.,P.N.G.,11 runs,Townsville,Feb 9,2016,Papua New Guinea,Bat
India,Sri Lanka,Sri Lanka,5 wickets,Pune,Feb 9,2016,Sri Lanka,Field
India,Sri Lanka,India,69 runs,Ranchi,Feb 12,2016,Sri Lanka,Field
U.A.E.,Ireland,Ireland,34 runs,Abu Dhabi,Feb 14,2016,United Arab Emirates,Field
India,Sri Lanka,India,9 wickets,Visakhapatnam,Feb 14,2016,India,Field
U.A.E.,Ireland,U.A.E.,5 runs,Abu Dhabi,Feb 16,2016,United Arab Emirates,Bat
Afghanistan,U.A.E.,U.A.E.,16 runs,Fatullah,Feb 19,2016,United Arab Emirates,Bat
Hong Kong,Oman,Oman,5 runs,Fatullah,Feb 19,2016,Oman,Bat
South Africa,England,South Africa,3 wickets,Cape Town,Feb 19,2016,South Africa,Field
Afghanistan,Oman,Afghanistan,3 wickets,Fatullah,Feb 20,2016,Oman,Bat
Hong Kong,U.A.E.,U.A.E.,6 wickets,Fatullah,Feb 21,2016,Hong Kong,Bat
South Africa,England,South Africa,9 wickets,Johannesburg,Feb 21,2016,South Africa,Field
Afghanistan,Hong Kong,Afghanistan,66 runs,Dhaka,Feb 22,2016,Hong Kong,Field
Oman,U.A.E.,U.A.E.,71 runs,Dhaka,Feb 22,2016,Oman,Field
Bangladesh,India,India,45 runs,Dhaka,Feb 24,2016,Bangladesh,Field
Sri Lanka,U.A.E.,Sri Lanka,14 runs,Dhaka,Feb 25,2016,United Arab Emirates,Field
Bangladesh,U.A.E.,Bangladesh,51 runs,Dhaka,Feb 26,2016,United Arab Emirates,Field
India,Pakistan,India,5 wickets,Dhaka,Feb 27,2016,India,Field
Bangladesh,Sri Lanka,Bangladesh,23 runs,Dhaka,Feb 28,2016,Bangladesh,Bat
Pakistan,U.A.E.,Pakistan,7 wickets,Dhaka,Feb 29,2016,United Arab Emirates,Bat
India,Sri Lanka,India,5 wickets,Dhaka,Mar 1,2016,India,Field
Bangladesh,Pakistan,Bangladesh,5 wickets,Dhaka,Mar 2,2016,Pakistan,Bat
India,U.A.E.,India,9 wickets,Dhaka,Mar 3,2016,United Arab Emirates,Bat
Pakistan,Sri Lanka,Pakistan,6 wickets,Dhaka,Mar 4,2016,Pakistan,Field
South Africa,Australia,South Africa,3 wickets,Durban,Mar 4,2016,Australia,Bat
South Africa,Australia,Australia,5 wickets,Johannesburg,Mar 6,2016,Australia,Field
Bangladesh,India,India,8 wickets,Dhaka,Mar 6,2016,India,Field
Hong Kong,Zimbabwe,Zimbabwe,14 runs,Nagpur,Mar 8,2016,Hong Kong,Field
Afghanistan,Scotland,Afghanistan,14 runs,Nagpur,Mar 8,2016,Afghanistan,Bat
Bangladesh,Netherlands,Bangladesh,8 runs,Dharamsala,Mar 9,2016,Netherlands,Field
Ireland,Oman,Oman,2 wickets,Dharamsala,Mar 9,2016,Ireland,Bat
South Africa,Australia,Australia,6 wickets,Cape Town,Mar 9,2016,South Africa,Bat
Scotland,Zimbabwe,Zimbabwe,11 runs,Nagpur,Mar 10,2016,Zimbabwe,Bat
Afghanistan,Hong Kong,Afghanistan,6 wickets,Nagpur,Mar 10,2016,Hong Kong,Bat
Netherlands,Oman,no result,,Dharamsala,Mar 11,2016,,
Bangladesh,Ireland,no result,,Dharamsala,Mar 11,2016,Ireland,Field
Afghanistan,Zimbabwe,Afghanistan,59 runs,Nagpur,Mar 12,2016,Afghanistan,Bat
Hong Kong,Scotland,Scotland,8 wickets,Nagpur,Mar 12,2016,Hong Kong,Bat
Ireland,Netherlands,Netherlands,12 runs,Dharamsala,Mar 13,2016,Ireland,Field
Bangladesh,Oman,Bangladesh,54 runs,Dharamsala,Mar 13,2016,Oman,Field
India,New Zealand,New Zealand,47 runs,Nagpur,Mar 15,2016,New Zealand,Bat
Bangladesh,Pakistan,Pakistan,55 runs,Kolkata,Mar 16,2016,Pakistan,Bat
England,West Indies,West Indies,6 wickets,Mumbai,Mar 16,2016,West Indies,Field
Afghanistan,Sri Lanka,Sri Lanka,6 wickets,Kolkata,Mar 17,2016,Afghanistan,Bat
Australia,New Zealand,New Zealand,8 runs,Dharamsala,Mar 18,2016,New Zealand,Bat
England,South Africa,England,2 wickets,Mumbai,Mar 18,2016,England,Field
India,Pakistan,India,6 wickets,Kolkata,Mar 19,2016,India,Field
Afghanistan,South Africa,South Africa,37 runs,Mumbai,Mar 20,2016,South Africa,Bat
Sri Lanka,West Indies,West Indies,7 wickets,Bengaluru,Mar 20,2016,West Indies,Field
Australia,Bangladesh,Australia,3 wickets,Bengaluru,Mar 21,2016,Australia,Field
New Zealand,Pakistan,New Zealand,22 runs,Mohali,Mar 22,2016,New Zealand,Bat
Afghanistan,England,England,15 runs,Delhi,Mar 23,2016,England,Bat
India,Bangladesh,India,1 run,Bengaluru,Mar 23,2016,Bangladesh,Field
Australia,Pakistan,Australia,21 runs,Mohali,Mar 25,2016,Australia,Bat
South Africa,West Indies,West Indies,3 wickets,Nagpur,Mar 25,2016,West Indies,Field
Bangladesh,New Zealand,New Zealand,75 runs,Kolkata,Mar 26,2016,New Zealand,Bat
England,Sri Lanka,England,10 runs,Delhi,Mar 26,2016,Sri Lanka,Field
Afghanistan,West Indies,Afghanistan,6 runs,Nagpur,Mar 27,2016,West Indies,Field
India,Australia,India,6 wickets,Mohali,Mar 27,2016,Australia,Bat
South Africa,Sri Lanka,South Africa,8 wickets,Delhi,Mar 28,2016,South Africa,Field
England,New Zealand,England,7 wickets,Delhi,Mar 30,2016,England,Field
India,West Indies,West Indies,7 wickets,Mumbai,Mar 31,2016,West Indies,Field
England,West Indies,West Indies,4 wickets,Kolkata,Apr 3,2016,West Indies,Field
Zimbabwe,India,Zimbabwe,2 runs,Harare,Jun 18,2016,India,Field
Zimbabwe,India,India,10 wickets,Harare,Jun 20,2016,Zimbabwe,Bat
Zimbabwe,India,India,3 runs,Harare,Jun 22,2016,Zimbabwe,Field
England,Sri Lanka,England,8 wickets,Southampton,Jul 5,2016,Sri Lanka,Bat
India,West Indies,West Indies,1 run,Lauderhill,Aug 27,2016,India,Field
India,West Indies,no result,,Lauderhill,Aug 28,2016,India,Field
Ireland,Hong Kong,Hong Kong,40 runs,Bready,Sep 5,2016,Hong Kong,Bat
Sri Lanka,Australia,Australia,85 runs,Pallekele,Sep 6,2016,Sri Lanka,Field
England,Pakistan,Pakistan,9 wickets,Manchester,Sep 7,2016,England,Bat
Sri Lanka,Australia,Australia,4 wickets,Colombo (RPS),Sep 9,2016,Sri Lanka,Bat
Pakistan,West Indies,Pakistan,9 wickets,Dubai (DSC),Sep 23,2016,Pakistan,Field
Pakistan,West Indies,Pakistan,16 runs,Dubai (DSC),Sep 24,2016,West Indies,Field
Pakistan,West Indies,Pakistan,8 wickets,Abu Dhabi,Sep 27,2016,Pakistan,Field
U.A.E.,Afghanistan,Afghanistan,11 runs,ICCA Dubai,Dec 14,2016,Afghanistan,Bat
U.A.E.,Afghanistan,Afghanistan,5 wickets,Dubai (DSC),Dec 16,2016,United Arab Emirates,Bat
U.A.E.,Afghanistan,Afghanistan,44 runs,ICCA Dubai,Dec 18,2016,Afghanistan,Bat
New Zealand,Bangladesh,New Zealand,6 wickets,Napier,Jan 3,2017,Bangladesh,Bat
New Zealand,Bangladesh,New Zealand,47 runs,Mount Maunganui,Jan 6,2017,Bangladesh,Field
New Zealand,Bangladesh,New Zealand,27 runs,Mount Maunganui,Jan 8,2017,Bangladesh,Field
Hong Kong,Scotland,Scotland,24 runs,Abu Dhabi,Jan 14,2017,Scotland,Bat
Afghanistan,Ireland,Afghanistan,5 wickets,Abu Dhabi,Jan 14,2017,Ireland,Bat
Netherlands,Oman,Netherlands,5 wickets,Abu Dhabi,Jan 15,2017,Oman,Bat
Hong Kong,Oman,Oman,7 wickets,Abu Dhabi,Jan 16,2017,Oman,Field
U.A.E.,Afghanistan,Afghanistan,5 wickets,Abu Dhabi,Jan 16,2017,Afghanistan,Field
Netherlands,Scotland,Scotland,7 runs,Abu Dhabi,Jan 17,2017,Netherlands,Field
U.A.E.,Ireland,Ireland,24 runs,Dubai (DSC),Jan 18,2017,Ireland,Bat
Hong Kong,Netherlands,Hong Kong,91 runs,Dubai (DSC),Jan 18,2017,Hong Kong,Bat
Oman,Scotland,Scotland,7 wickets,Dubai (DSC),Jan 19,2017,Oman,Bat
Afghanistan,Oman,Afghanistan,8 wickets,Dubai (DSC),Jan 20,2017,Afghanistan,Field
Ireland,Scotland,Ireland,98 runs,Dubai (DSC),Jan 20,2017,Scotland,Field
Afghanistan,Ireland,Afghanistan,10 wickets,Dubai (DSC),Jan 20,2017,Ireland,Bat
South Africa,Sri Lanka,South Africa,19 runs,Centurion,Jan 20,2017,Sri Lanka,Field
South Africa,Sri Lanka,Sri Lanka,3 wickets,Johannesburg,Jan 22,2017,South Africa,Bat
South Africa,Sri Lanka,Sri Lanka,5 wickets,Cape Town,Jan 25,2017,South Africa,Bat
India,England,England,7 wickets,Kanpur,Jan 26,2017,England,Field
India,England,India,5 runs,Nagpur,Jan 29,2017,England,Field
India,England,India,75 runs,Bengaluru,Feb 1,2017,England,Field
New Zealand,South Africa,South Africa,78 runs,Auckland,Feb 17,2017,New Zealand,Field
Australia,Sri Lanka,Sri Lanka,5 wickets,Melbourne,Feb 17,2017,Sri Lanka,Field
Australia,Sri Lanka,Sri Lanka,2 wickets,Geelong,Feb 19,2017,Sri Lanka,Field
Australia,Sri Lanka,Australia,41 runs,Adelaide,Feb 22,2017,Sri Lanka,Field
Afghanistan,Ireland,Afghanistan,6 wickets,Greater Noida,Mar 8,2017,Ireland,Bat
Afghanistan,Ireland,Afghanistan,17 runs,Greater Noida,Mar 10,2017,Afghanistan,Bat
Afghanistan,Ireland,Afghanistan,28 runs,Greater Noida,Mar 12,2017,Ireland,Field
West Indies,Pakistan,Pakistan,6 wickets,Bridgetown,Mar 26,2017,Pakistan,Field
West Indies,Pakistan,Pakistan,3 runs,Port of Spain,Mar 30,2017,West Indies,Field
West Indies,Pakistan,West Indies,7 wickets,Port of Spain,Apr 1,2017,Pakistan,Bat
West Indies,Pakistan,Pakistan,7 wickets,Port of Spain,Apr 2,2017,Pakistan,Field
Sri Lanka,Bangladesh,Sri Lanka,6 wickets,Colombo (RPS),Apr 4,2017,Bangladesh,Bat
Sri Lanka,Bangladesh,Bangladesh,45 runs,Colombo (RPS),Apr 6,2017,Bangladesh,Bat
U.A.E.,P.N.G.,U.A.E.,5 wickets,Abu Dhabi,Apr 12,2017,United Arab Emirates,Field
U.A.E.,P.N.G.,U.A.E.,30 runs,Abu Dhabi,Apr 14,2017,Papua New Guinea,Field
U.A.E.,P.N.G.,U.A.E.,5 wickets,Abu Dhabi,Apr 14,2017,Papua New Guinea,Bat
West Indies,Afghanistan,West Indies,6 wickets,Basseterre,Jun 2,2017,Afghanistan,Bat
