Team 1,Team 2,Winner,Margin,Ground,Date,Year,Toss Winner,Toss Decision
Pakistan,Zimbabwe,Pakistan,7 wickets,King City (NW),Oct 12,2008,Zimbabwe,Bat
Canada,Sri Lanka,Sri Lanka,15 runs,King City (NW),Oct 12,2008,Sri Lanka,Bat
Canada,Zimbabwe,Zimbabwe,109 runs,King City (NW),Oct 13,2008,Canada,Field
Pakistan,Sri Lanka,Sri Lanka,5 wickets,King City (NW),Oct 13,2008,Sri Lanka,Field
South Africa,Bangladesh,South Africa,12 runs,Johannesburg,Nov 5,2008,Bangladesh,Field
New Zealand,West Indies,tied,,Auckland,Dec 26,2008,New Zealand,Bat
New Zealand,West Indies,New Zealand,36 runs,Hamilton,Dec 28,2008,New Zealand,Bat
Australia,South Africa,Australia,52 runs,Melbourne,Jan 11,2009,Australia,Bat
Australia,South Africa,Australia,6 wickets,Brisbane,Jan 13,2009,South Africa,Bat
Sri Lanka,India,India,3 wickets,Colombo (RPS),Feb 10,2009,Sri Lanka,Bat
Australia,New Zealand,Australia,1 run,Sydney,Feb 15,2009,Australia,Bat
New Zealand,India,New Zealand,7 wickets,Christchurch,Feb 25,2009,New Zealand,Field
New Zealand,India,New Zealand,5 wickets,Wellington,Feb 27,2009,New Zealand,Field
West Indies,England,West Indies,6 wickets,Port of Spain,Mar 15,2009,West Indies,Field
South Africa,Australia,South Africa,4 wickets,Johannesburg,Mar 27,2009,South Africa,Field
South Africa,Australia,South Africa,17 runs,Centurion,Mar 29,2009,Australia,Field
Australia,Pakistan,Pakistan,7 wickets,Dubai (DSC),May 7,2009,Pakistan,Field
England,Netherlands,Netherlands,4 wickets,Lord's,Jun 5,2009,Netherlands,Field
New Zealand,Scotland,New Zealand,7 wickets,The Oval,Jun 6,2009,New Zealand,Field
Australia,West Indies,West Indies,7 wickets,The Oval,Jun 6,2009,Australia,Bat
Bangladesh,India,India,25 runs,Nottingham,Jun 6,2009,India,Bat
Scotland,South Africa,South Africa,130 runs,The Oval,Jun 7,2009,Scotland,Field
England,Pakistan,England,48 runs,The Oval,Jun 7,2009,Pakistan,Field
Bangladesh,Ireland,Ireland,6 wickets,Nottingham,Jun 8,2009,Ireland,Field
Australia,Sri Lanka,Sri Lanka,6 wickets,Nottingham,Jun 8,2009,Sri Lanka,Field
Netherlands,Pakistan,Pakistan,82 runs,Lord's,Jun 9,2009,Pakistan,Bat
New Zealand,South Africa,South Africa,1 run,Lord's,Jun 9,2009,New Zealand,Field
Sri Lanka,West Indies,Sri Lanka,15 runs,Nottingham,Jun 10,2009,West Indies,Field
India,Ireland,India,8 wickets,Nottingham,Jun 10,2009,India,Field
Ireland,New Zealand,New Zealand,83 runs,Nottingham,Jun 11,2009,Ireland,Field
England,South Africa,South Africa,7 wickets,Nottingham,Jun 11,2009,England,Bat
Pakistan,Sri Lanka,Sri Lanka,19 runs,Lord's,Jun 12,2009,Sri Lanka,Bat
India,West Indies,West Indies,7 wickets,Lord's,Jun 12,2009,India,Bat
South Africa,West Indies,South Africa,20 runs,The Oval,Jun 13,2009,West Indies,Field
New Zealand,Pakistan,Pakistan,6 wickets,The Oval,Jun 13,2009,New Zealand,Bat
Ireland,Sri Lanka,Sri Lanka,9 runs,Lord's,Jun 14,2009,Sri Lanka,Bat
England,India,England,3 runs,Lord's,Jun 14,2009,India,Field
Ireland,Pakistan,Pakistan,39 runs,The Oval,Jun 15,2009,Pakistan,Bat
England,West Indies,West Indies,5 wickets,The Oval,Jun 15,2009,England,Bat
New Zealand,Sri Lanka,Sri Lanka,48 runs,Nottingham,Jun 16,2009,Sri Lanka,Bat
India,South Africa,South Africa,12 runs,Nottingham,Jun 16,2009,South Africa,Bat
Pakistan,South Africa,Pakistan,7 runs,Nottingham,Jun 18,2009,Pakistan,Bat
Sri Lanka,West Indies,Sri Lanka,57 runs,The Oval,Jun 19,2009,West Indies,Field
Pakistan,Sri Lanka,Pakistan,8 wickets,Lord's,Jun 21,2009,Sri Lanka,Bat
West Indies,Bangladesh,West Indies,5 wickets,Basseterre,Aug 2,2009,Bangladesh,Bat
Sri Lanka,Pakistan,Pakistan,52 runs,Colombo (RPS),Aug 12,2009,Pakistan,Bat
England,Australia,no result,,Manchester,Aug 30,2009,England,Field
Sri Lanka,New Zealand,New Zealand,3 runs,Colombo (RPS),Sep 2,2009,New Zealand,Bat
Sri Lanka,New Zealand,New Zealand,22 runs,Colombo (RPS),Sep 4,2009,New Zealand,Bat
New Zealand,Pakistan,Pakistan,49 runs,Dubai (DSC),Nov 12,2009,New Zealand,Field
New Zealand,Pakistan,Pakistan,7 runs,Dubai (DSC),Nov 13,2009,Pakistan,Bat
South Africa,England,England,1 run,Johannesburg,Nov 13,2009,South Africa,Field
South Africa,England,South Africa,84 runs,Centurion,Nov 15,2009,South Africa,Bat
India,Sri Lanka,Sri Lanka,29 runs,Nagpur,Dec 9,2009,India,Field
India,Sri Lanka,India,6 wickets,Mohali,Dec 12,2009,Sri Lanka,Bat
Afghanistan,Ireland,Ireland,5 wickets,Colombo (PSS),Feb 1,2010,Afghanistan,Bat
Kenya,Scotland,Kenya,10 wickets,Nairobi (Gym),Feb 1,2010,Kenya,Field
Canada,Ireland,Canada,4 runs,Colombo (SSC),Feb 3,2010,Ireland,Field
New Zealand,Bangladesh,New Zealand,10 wickets,Hamilton,Feb 3,2010,Bangladesh,Bat
Afghanistan,Canada,Afghanistan,5 wickets,Colombo (SSC),Feb 4,2010,Canada,Bat
Kenya,Scotland,Kenya,10 wickets,Nairobi (Gym),Feb 4,2010,Kenya,Field
Australia,Pakistan,Australia,2 runs,Melbourne,Feb 5,2010,Australia,Bat
Afghanistan,Ireland,Afghanistan,13 runs,Dubai (DSC),Feb 9,2010,Ireland,Field
Canada,Netherlands,Netherlands,6 wickets,Dubai (DSC),Feb 9,2010,Canada,Bat
Afghanistan,Scotland,Afghanistan,14 runs,Abu Dhabi,Feb 10,2010,Scotland,Field
Canada,Kenya,Kenya,9 wickets,Dubai (DSC),Feb 10,2010,Kenya,Field
Kenya,Netherlands,Netherlands,7 wickets,Abu Dhabi,Feb 11,2010,Netherlands,Field
Ireland,Scotland,Ireland,37 runs,Dubai (DSC),Feb 11,2010,Ireland,Bat
Afghanistan,Netherlands,Netherlands,4 wickets,Dubai (DSC),Feb 12,2010,Netherlands,Field
Ireland,Netherlands,Ireland,65 runs,Dubai (DSC),Feb 13,2010,Ireland,Bat
Afghanistan,Ireland,Afghanistan,8 wickets,Dubai (DSC),Feb 13,2010,Ireland,Bat
England,Pakistan,England,7 wickets,Dubai (DSC),Feb 19,2010,Pakistan,Bat
England,Pakistan,Pakistan,4 wickets,Dubai (DSC),Feb 20,2010,Pakistan,Field
Australia,West Indies,Australia,38 runs,Hobart,Feb 21,2010,Australia,Bat
Australia,West Indies,Australia,8 wickets,Sydney,Feb 23,2010,West Indies,Bat
New Zealand,Australia,Australia,6 wickets,Wellington,Feb 26,2010,New Zealand,Bat
New Zealand,Australia,tied,,Christchurch,Feb 28,2010,New Zealand,Bat
West Indies,Zimbabwe,Zimbabwe,26 runs,Port of Spain,Feb 28,2010,Zimbabwe,Bat
New Zealand,Sri Lanka,New Zealand,2 wickets,Providence,Apr 30,2010,Sri Lanka,Bat
West Indies,Ireland,West Indies,70 runs,Providence,Apr 30,2010,West Indies,Bat
Afghanistan,India,India,7 wickets,Gros Islet,May 1,2010,India,Field
Bangladesh,Pakistan,Pakistan,21 runs,Gros Islet,May 1,2010,Pakistan,Bat
India,South Africa,India,14 runs,Gros Islet,May 2,2010,South Africa,Field
Australia,Pakistan,Australia,34 runs,Gros Islet,May 2,2010,Australia,Bat
Sri Lanka,Zimbabwe,Sri Lanka,14 runs,Providence,May 3,2010,Sri Lanka,Bat
West Indies,England,West Indies,8 wickets,Providence,May 3,2010,West Indies,Field
New Zealand,Zimbabwe,New Zealand,7 runs,Providence,May 4,2010,New Zealand,Field
England,Ireland,no result,,Providence,May 4,2010,Ireland,Field
Australia,Bangladesh,Australia,27 runs,Bridgetown,May 5,2010,Australia,Bat
Afghanistan,South Africa,South Africa,59 runs,Bridgetown,May 5,2010,Afghanistan,Field
England,Pakistan,England,6 wickets,Bridgetown,May 6,2010,England,Field
New Zealand,South Africa,South Africa,13 runs,Bridgetown,May 6,2010,South Africa,Bat
Australia,India,Australia,49 runs,Bridgetown,May 7,2010,India,Field
West Indies,Sri Lanka,Sri Lanka,57 runs,Bridgetown,May 7,2010,Sri Lanka,Bat
New Zealand,Pakistan,New Zealand,1 run,Bridgetown,May 8,2010,Pakistan,Field
England,South Africa,England,39 runs,Bridgetown,May 8,2010,England,Bat
West Indies,India,West Indies,14 runs,Bridgetown,May 9,2010,India,Field
Australia,Sri Lanka,Australia,81 runs,Bridgetown,May 9,2010,Australia,Bat
Pakistan,South Africa,Pakistan,11 runs,Gros Islet,May 10,2010,Pakistan,Bat
England,New Zealand,England,3 wickets,Gros Islet,May 10,2010,New Zealand,Bat
India,Sri Lanka,Sri Lanka,5 wickets,Gros Islet,May 11,2010,India,Bat
West Indies,Australia,Australia,6 wickets,Gros Islet,May 11,2010,West Indies,Bat
England,Sri Lanka,England,7 wickets,Gros Islet,May 13,2010,Sri Lanka,Bat
Australia,Pakistan,Australia,3 wickets,Gros Islet,May 14,2010,Australia,Field
Australia,England,England,7 wickets,Bridgetown,May 16,2010,England,Field
West Indies,South Africa,South Africa,13 runs,North Sound,May 19,2010,West Indies,Field
West Indies,South Africa,South Africa,1 run,North Sound,May 20,2010,West Indies,Field
New Zealand,Sri Lanka,New Zealand,28 runs,Lauderhill,May 22,2010,New Zealand,Bat
New Zealand,Sri Lanka,Sri Lanka,7 wickets,Lauderhill,May 23,2010,New Zealand,Bat
Zimbabwe,India,India,6 wickets,Harare,Jun 12,2010,India,Field
Zimbabwe,India,India,7 wickets,Harare,Jun 13,2010,India,Field
Australia,Pakistan,Pakistan,23 runs,Birmingham,Jul 5,2010,Pakistan,Bat
Australia,Pakistan,Pakistan,11 runs,Birmingham,Jul 6,2010,Pakistan,Bat
England,Pakistan,England,5 wickets,Cardiff,Sep 5,2010,England,Field
England,Pakistan,England,6 wickets,Cardiff,Sep 7,2010,Pakistan,Bat
South Africa,Zimbabwe,South Africa,7 wickets,Bloemfontein,Oct 8,2010,Zimbabwe,Bat
South Africa,Zimbabwe,South Africa,8 runs,Kimberley,Oct 10,2010,South Africa,Bat
Pakistan,South Africa,South Africa,6 wickets,Abu Dhabi,Oct 26,2010,Pakistan,Bat
Pakistan,South Africa,South Africa,6 wickets,Abu Dhabi,Oct 27,2010,Pakistan,Bat
Australia,Sri Lanka,Sri Lanka,7 wickets,Perth,Oct 31,2010,Australia,Bat
New Zealand,Pakistan,New Zealand,5 wickets,Auckland,Dec 26,2010,New Zealand,Field
New Zealand,Pakistan,New Zealand,39 runs,Hamilton,Dec 28,2010,Pakistan,Field
New Zealand,Pakistan,Pakistan,103 runs,Christchurch,Dec 30,2010,Pakistan,Bat
South Africa,India,India,21 runs,Durban,Jan 9,2011,India,Bat
Australia,England,England,1 wicket,Adelaide,Jan 12,2011,Australia,Bat
Australia,England,Australia,4 runs,Melbourne,Jan 14,2011,Australia,Bat
West Indies,Pakistan,West Indies,7 runs,Gros Islet,Apr 21,2011,West Indies,Bat
West Indies,India,India,16 runs,Port of Spain,Jun 4,2011,West Indies,Field
England,Sri Lanka,Sri Lanka,9 wickets,Bristol,Jun 25,2011,Sri Lanka,Field
Sri Lanka,Australia,Sri Lanka,35 runs,Pallekele,Aug 6,2011,Australia,Field
Sri Lanka,Australia,Sri Lanka,8 runs,Pallekele,Aug 8,2011,Sri Lanka,Bat
England,India,England,6 wickets,Manchester,Aug 31,2011,India,Bat
Zimbabwe,Pakistan,Pakistan,85 runs,Harare,Sep 16,2011,Zimbabwe,Field
Zimbabwe,Pakistan,Pakistan,5 runs,Harare,Sep 18,2011,Pakistan,Bat
England,West Indies,England,10 wickets,The Oval,Sep 23,2011,England,Field
England,West Indies,West Indies,25 runs,The Oval,Sep 25,2011,England,Field
Bangladesh,West Indies,Bangladesh,3 wickets,Dhaka,Oct 11,2011,Bangladesh,Field
South Africa,Australia,Australia,5 wickets,Cape Town,Oct 13,2011,South Africa,Bat
Zimbabwe,New Zealand,New Zealand,10 wickets,Harare,Oct 15,2011,New Zealand,Field
South Africa,Australia,South Africa,3 wickets,Johannesburg,Oct 16,2011,Australia,Bat
Zimbabwe,New Zealand,New Zealand,34 runs,Harare,Oct 17,2011,Zimbabwe,Field
India,England,England,6 wickets,Kolkata,Oct 29,2011,India,Bat
Pakistan,Sri Lanka,Pakistan,5 wickets,Abu Dhabi,Nov 25,2011,Sri Lanka,Bat
Bangladesh,Pakistan,Pakistan,50 runs,Dhaka,Nov 29,2011,Pakistan,Bat
Australia,India,Australia,31 runs,Sydney,Feb 1,2012,India,Field
Australia,India,India,8 wickets,Melbourne,Feb 3,2012,Australia,Bat
New Zealand,Zimbabwe,New Zealand,7 wickets,Auckland,Feb 11,2012,Zimbabwe,Bat
New Zealand,Zimbabwe,New Zealand,5 wickets,Hamilton,Feb 14,2012,Zimbabwe,Bat
New Zealand,South Africa,New Zealand,6 wickets,Wellington,Feb 17,2012,New Zealand,Field
New Zealand,South Africa,South Africa,8 wickets,Hamilton,Feb 19,2012,South Africa,Field
New Zealand,South Africa,South Africa,3 runs,Auckland,Feb 22,2012,New Zealand,Field
